fit,upr,lwr
12.53427837,12.53427837,12.53427837
14.17923444,14.17923444,14.17923444
13.80049776,13.80049776,13.80049776
15.31791337,15.31791337,15.31791337
17.49487768,17.49487768,17.49487768
17.11653829,17.11653829,17.11653829
16.10378457,16.10378457,16.10378457
15.09854844,15.09854844,15.09854844
15.54130882,15.54130882,15.54130882
13.11730851,13.11730851,13.11730851
15.69786785,15.69786785,15.69786785
17.26010917,17.26010917,17.26010917
16.3685838,16.3685838,16.3685838
16.01427332,16.01427332,16.01427332
16.30888175,16.30888175,16.30888175
16.51499008,16.51499008,16.51499008
17.16676673,17.16676673,17.16676673
17.75087173,17.75087173,17.75087173
18.7880835,18.7880835,18.7880835
20.24176805,20.24176805,20.24176805
20.87722388,20.87722388,20.87722388
20.91225408,20.91225408,20.91225408
19.11753925,19.11753925,19.11753925
17.84065133,17.84065133,17.84065133
18.24222468,18.24222468,18.24222468
18.07235163,18.07235163,18.07235163
17.4238644,17.4238644,17.4238644
14.8554855,14.8554855,14.8554855
14.49437264,14.49437264,14.49437264
15.11070442,15.11070442,15.11070442
14.10096981,14.10096981,14.10096981
14.81483607,14.81483607,14.81483607
14.5133572,14.5133572,14.5133572
11.90102988,11.90102988,11.90102988
14.78762199,14.78762199,14.78762199
13.38320172,13.38320172,13.38320172
14.67100505,14.67100505,14.67100505
13.13027599,13.13027599,13.13027599
12.81832837,12.81832837,12.81832837
12.87738986,12.87738986,12.87738986
11.73401258,11.73401258,11.73401258
10.81081395,10.81081395,10.81081395
9.932241193,9.932241193,9.932241193
10.73972137,10.73972137,10.73972137
10.35081139,10.35081139,10.35081139
13.02472284,13.02472284,13.02472284
10.86056999,10.86056999,10.86056999
10.9667085,10.9667085,10.9667085
11.88773844,11.88773844,11.88773844
12.51428208,12.51428208,12.51428208
12.74060744,12.74060744,12.74060744
11.87951944,11.87951944,11.87951944
14.30522083,14.30522083,14.30522083
16.0399641,16.0399641,16.0399641
16.25806087,16.25806087,16.25806087
14.88033939,14.88033939,14.88033939
13.4202587,13.4202587,13.4202587
12.98197779,12.98197779,12.98197779
12.49677639,12.49677639,12.49677639
13.31692784,13.31692784,13.31692784
12.4298823,12.4298823,12.4298823
10.40105274,10.40105274,10.40105274
9.214745885,9.214745885,9.214745885
8.947695082,8.947695082,8.947695082
7.749673327,7.749673327,7.749673327
7.202930244,7.202930244,7.202930244
7.430157631,7.430157631,7.430157631
7.16060445,7.16060445,7.16060445
7.594788141,7.594788141,7.594788141
8.687014518,8.687014518,8.687014518
8.167266954,8.167266954,8.167266954
7.764192736,7.764192736,7.764192736
5.079790378,5.079790378,5.079790378
7.54883898,7.54883898,7.54883898
9.350767132,9.350767132,9.350767132
6.43656801,18.43022,-5.557089
5.30677321,19.14334,-8.529791
4.62923042,20.09058,-10.832116
6.47723643,23.40815,-10.45368
6.94234734,25.22509,-11.340395
7.4280236,26.9693,-12.11325
7.4192136,28.14273,-13.304302
6.84668095,28.68854,-14.995178
6.38783619,29.2935,-16.517829
5.74570705,29.66792,-18.176505
5.40766085,30.30495,-19.489627
5.00149961,30.83709,-20.834089
3.28044501,30.17414,-23.613253
2.1506502,29.91526,-25.613962
1.47310741,30.08213,-27.135919
3.32111342,32.75034,-26.108109
3.78622433,34.01339,-26.440946
4.2719006,35.27649,-26.732688
4.26309059,36.02608,-27.499895
3.69055794,36.19425,-28.813134
3.23171319,36.4596,-29.996177
2.58958405,36.52622,-31.347054
2.25153784,36.88242,-32.379346
1.84537661,37.15686,-33.466106
0.124322,36.21718,-35.968532
-1.0054728,35.74091,-37.751858
-1.6830156,35.70548,-39.071511
0.16499041,38.18475,-37.854771
0.63010133,39.27082,-38.010615
1.11577759,40.36763,-38.136072
1.10696759,40.96058,-38.746645
0.53443494,40.98086,-39.911988
